DATE,TATASTEEL
09-11-2013,315.7
10-11-2013,307.9
11-11-2013,360.8
12-11-2013,418.25
13-11-2013,357.75
14-11-2013,375.35
18-11-2013,386.8
19-11-2013,383.25
20-11-2013,385
21-11-2013,382.6
22-11-2013,392.45
25-11-2013,397.95
26-11-2013,391.75
27-11-2013,394.75
28-11-2013,400.9
29-11-2013,400.6
02-12-2013,384.9
03-12-2013,356.25
04-12-2013,299.5
06-12-2013,273.75
07-12-2013,262.65
08-12-2013,236.55
09-12-2013,302.75
11-12-2013,352.45
12-12-2013,412.75
13-12-2013,415.15
16-12-2013,408.9
17-12-2013,408.7
18-12-2013,414.9
19-12-2013,410.8
20-12-2013,417.95
23-12-2013,423.15
24-12-2013,418.4
26-12-2013,425.35
27-12-2013,425.05
30-12-2013,425.55
31-12-2013,424.2
01-01-2014,425.9
04-01-2014,401.15
07-01-2014,540.65
08-01-2014,548.75
09-01-2014,524.1
10-01-2014,448.8
12-01-2014,461.15
13-01-2014,385.95
14-01-2014,374.35
15-01-2014,375
16-01-2014,381.1
17-01-2014,377.65
20-01-2014,374.55
21-01-2014,383.6
22-01-2014,393.25
23-01-2014,389.25
24-01-2014,376
27-01-2014,353.55
28-01-2014,366.65
29-01-2014,358
30-01-2014,346.55
31-01-2014,356.05
01-02-2014,419.2
04-02-2014,403.45
05-02-2014,390.05
06-02-2014,492.9
07-02-2014,543.5
09-02-2014,519.2
12-02-2014,465.2
13-02-2014,367.45
14-02-2014,370.8
17-02-2014,374.05
18-02-2014,379.65
19-02-2014,373.85
20-02-2014,366.75
21-02-2014,374.4
24-02-2014,369.2
25-02-2014,360.55
26-02-2014,349.3
28-02-2014,343.8
01-03-2014,412.5
02-03-2014,343.1
03-03-2014,345.3
04-03-2014,397.65
06-03-2014,526.8
07-03-2014,539.05
09-03-2014,526
11-03-2014,489.15
12-03-2014,463.75
13-03-2014,336.85
14-03-2014,341.7
18-03-2014,340.7
19-03-2014,356.6
20-03-2014,349.95
21-03-2014,362.85
22-03-2014,362.3
24-03-2014,363.1
25-03-2014,367.1
26-03-2014,374.8
27-03-2014,375.4
28-03-2014,381.5
31-03-2014,393.95
02-04-2014,342.95
03-04-2014,351.75
04-04-2014,402
06-04-2014,537.4
07-04-2014,536.6
08-04-2014,551.85
09-04-2014,509.05
12-04-2014,461.85
15-04-2014,409.15
16-04-2014,413.7
17-04-2014,418.9
21-04-2014,423.5
22-04-2014,420.85
23-04-2014,426.55
25-04-2014,426.9
28-04-2014,425.8
29-04-2014,405.5
30-04-2014,400.65
02-05-2014,359.4
03-05-2014,355.95
05-05-2014,397.55
06-05-2014,556.95
08-05-2014,562.2
09-05-2014,513.4
11-05-2014,478.1
12-05-2014,461.15
13-05-2014,427.1
14-05-2014,452.35
15-05-2014,460.6
16-05-2014,440.9
19-05-2014,450.75
20-05-2014,467.15
21-05-2014,462.55
22-05-2014,470.9
23-05-2014,478.2
26-05-2014,467.65
27-05-2014,477.6
28-05-2014,469.25
29-05-2014,465.95
30-05-2014,475.1
01-06-2014,408.3
02-06-2014,361.25
03-06-2014,364.2
05-06-2014,401.75
06-06-2014,560.65
08-06-2014,550.5
13-06-2014,525.55
16-06-2014,524.6
17-06-2014,532.3
18-06-2014,521.9
19-06-2014,519.45
20-06-2014,519.9
23-06-2014,526.9
24-06-2014,532.3
25-06-2014,530.95
26-06-2014,525.8
27-06-2014,518.9
30-06-2014,528.4
01-07-2014,394.7
02-07-2014,384.45
03-07-2014,371.1
04-07-2014,406.65
05-07-2014,399.9
07-07-2014,536.05
08-07-2014,555.8
10-07-2014,440.15
11-07-2014,471.4
14-07-2014,513.4
15-07-2014,527.15
16-07-2014,542.7
17-07-2014,558.8
18-07-2014,563
21-07-2014,562.7
22-07-2014,562.2
23-07-2014,554.55
24-07-2014,568.1
25-07-2014,557.6
28-07-2014,548.5
30-07-2014,546.1
31-07-2014,553.4
01-08-2014,392.4
05-08-2014,402
07-08-2014,513.55
08-08-2014,537.7
09-08-2014,517.45
10-08-2014,456.15
12-08-2014,451.85
13-08-2014,534.5
14-08-2014,541.7
18-08-2014,546.45
19-08-2014,544.1
20-08-2014,545.55
21-08-2014,536.6
22-08-2014,537.75
25-08-2014,512
26-08-2014,524.95
27-08-2014,523.2
28-08-2014,513.15
01-09-2014,390.8
04-09-2014,418.75
05-09-2014,416.7
06-09-2014,575.25
07-09-2014,518.35
09-09-2014,518.65
10-09-2014,467.55
12-09-2014,436.3
15-09-2014,507.7
16-09-2014,490.15
17-09-2014,498.4
18-09-2014,505.45
19-09-2014,511
22-09-2014,500.9
23-09-2014,485.6
24-09-2014,472.2
25-09-2014,460.4
26-09-2014,474.25
29-09-2014,466.4
30-09-2014,459.05
01-10-2014,384.5
02-10-2014,382.5
03-10-2014,364.15
04-10-2014,417.8
06-10-2014,558.7
07-10-2014,521.4
09-10-2014,519.2
10-10-2014,448.05
11-10-2014,470.85
12-10-2014,432.5
13-10-2014,457.75
14-10-2014,456.05
16-10-2014,439.1
17-10-2014,447.55
20-10-2014,450.15
21-10-2014,455.7
22-10-2014,457.15
23-10-2014,459.1
27-10-2014,450.5
28-10-2014,451.2
29-10-2014,471.7
30-10-2014,474.5
31-10-2014,490
02-11-2014,389.75
03-11-2014,343.75
04-11-2014,419.85
06-11-2014,549.45
07-11-2014,501.9
08-11-2014,534.75
09-11-2014,517.6
11-11-2014,480.3
12-11-2014,418.75
13-11-2014,471.25
14-11-2014,478.15
17-11-2014,480.1
18-11-2014,486.4
19-11-2014,471
20-11-2014,466.6
21-11-2014,462.9
24-11-2014,476.6
25-11-2014,464.45
26-11-2014,466.25
27-11-2014,460.2
28-11-2014,473.35
02-12-2014,374.35
03-12-2014,339.6
05-12-2014,420.05
06-12-2014,549.65
08-12-2014,542.05
09-12-2014,515.95
11-12-2014,468.35
12-12-2014,402.7
15-12-2014,400.95
16-12-2014,389.65
17-12-2014,393.45
18-12-2014,401.6
19-12-2014,405.45
22-12-2014,404.05
23-12-2014,394.8
24-12-2014,395.25
26-12-2014,398.25
29-12-2014,404.1
30-12-2014,396.3
